"length","maxPageLimit","data__areaType","data__areaName","data__areaCode","data__date","data__femaleCases__age","data__femaleCases__value","data__femaleCases__rate","data__maleCases__age","data__maleCases__value","data__maleCases__rate","pagination__current","pagination__next","pagination__previous","pagination__first","pagination__last"
"","","","","","","90+","1630","4317","80_to_84","1803","2751.4","","","","",""
"","","","","","","20_to_24","6933","3054.2","30_to_34","7096","1846.8","","","","",""
"","","region","London","E12000007","2020-11-16","55_to_59","4136","1441.6","55_to_59","4223","1507.6","","","","",""
"","","","","","","20_to_24","6814","3001.7","45_to_49","4670","1379.8","","","","",""
"","","","","","","40_to_44","5301","1405.7","75_to_79","1799","2075.3","","","","",""
"","","","","","","25_to_29","8715","3091","60_to_64","3431","1796.2","","","","",""
"","","","","","","45_to_49","5125","1588.8","5_to_9","1279","526.9","","","","",""
"","","","","","","35_to_39","6019","1474.1","50_to_54","4541","1507.4","","","","",""
"","","","","","","80_to_84","1607","1884.3","15_to_19","3915","1421.3","","","","",""
"","","","","","","0_to_4","1233","417.1","40_to_44","4967","1228.2","","","","",""
"","","","","","","60_to_64","2852","1425.6","70_to_74","2066","1624.6","","","","",""
"","","","","","","90+","1616","4279.9","20_to_24","5522","2295.1","","","","",""
"","","","","","","5_to_9","1160","459","10_to_14","2161","699.8","","","","",""
"","","","","","","85_to_89","1624","2920.7","90+","911","4624.8","","","","",""
"","","","","","","65_to_69","1926","1168.9","25_to_29","7174","2530.7","","","","",""
"","","","","","","30_to_34","7556","1958.6","35_to_39","5730","1333.2","","","","",""
"","","","","","","50_to_54","4854","1643.4","30_to_34","6962","1812","","","","",""
"","","","","","","10_to_14","2027","689","80_to_84","1783","2720.8","","","","",""
"","","","","","","15_to_19","4415","1684.1","65_to_69","2369","1599","","","","",""
"","","","","","","70_to_74","1620","1106.7","85_to_89","1409","3721.9","","","","",""
"","","","","","","75_to_79","1512","1418.1","0_to_4","1340","431.7","","","","",""
"","","region","London","E12000007","2020-11-15","90+","1601","4240.2","25_to_29","7036","2482","","","","",""
"","","","","","","10_to_14","1931","656.4","65_to_69","2329","1572","","","","",""
"","","","","","","85_to_89","1611","2897.3","20_to_24","5398","2243.6","","","","",""
"","","","","","","20_to_24","6689","2946.7","75_to_79","1785","2059.1","","","","",""
"","","","","","","50_to_54","4745","1606.5","60_to_64","3364","1761.1","","","","",""
"","","","","","","65_to_69","1893","1148.9","90+","901","4574.1","","","","",""
"","","","","","","60_to_64","2798","1398.6","10_to_14","2065","668.7","","","","",""
"","","","","","","15_to_19","4290","1636.4","55_to_59","4159","1484.8","","","","",""
"","","","","","","80_to_84","1589","1863.2","5_to_9","1232","507.6","","","","",""
"","","","","","","55_to_59","4050","1411.6","45_to_49","4578","1352.6","","","","",""
"","","","","","","40_to_44","5170","1371","30_to_34","6813","1773.2","","","","",""
"","","","","","","45_to_49","4974","1541.9","85_to_89","1394","3682.3","","","","",""
"","","","","","","35_to_39","5861","1435.4","15_to_19","3807","1382.1","","","","",""
"","","","","","","25_to_29","8534","3026.8","50_to_54","4440","1473.8","","","","",""
"","","","","","","75_to_79","1491","1398.4","0_to_4","1302","419.5","","","","",""
"","","","","","","30_to_34","7394","1916.6","80_to_84","1768","2698","","","","",""
"","","","","","","0_to_4","1180","399.2","35_to_39","5603","1303.7","","","","",""
"","","","","","","5_to_9","1106","437.6","70_to_74","2033","1598.6","","","","",""
"","","","","","","70_to_74","1580","1079.4","40_to_44","4839","1196.5","","","","",""
"","","region","London","E12000007","2020-11-14","50_to_54","4684","1585.9","50_to_54","4378","1453.3","","","","",""
"","","","","","","80_to_84","1575","1846.7","0_to_4","1263","406.9","","","","",""
"","","","","","","60_to_64","2758","1378.6","90+","900","4569","","","","",""
"","","","","","","30_to_34","7308","1894.3","20_to_24","5333","2216.5","","","","",""
"","","","","","","5_to_9","1081","427.7","55_to_59","4112","1468","","","","",""
"","","","","","","90+","1593","4219","25_to_29","6958","2454.5","","","","",""
